word,frequency
trump,1519
impeachment,261
mueller,249
perspective,226
president,213
house,211
dies,184
nixon,163
russia,147
democrats,143
äî,124
white,118
donald,106
review,101
republicans,100
power,98
washington,94
justice,88
may,88
report,88
comey,84
could,84
court,80
clinton,78
barr,74
john,74
congress,72
news,70
russian,70
america,67
election,66
history,64
presidential,64
investigation,63
gop,60
state,60
right,57
executive,56
senate,56
fbi,54
political,52
would,52
american,51
column,51
supreme,51
won,51
law,50
post,50
scandal,50
inquiry,49
